date,season,club,opponent,competition,competitionType,venue,minute,addedTimeMinute,scoreAfterGoal,teamResult,goalType,bodyPart,penalty,freeKick,assist,assistType,sourceId,sourceUrl,sourceName,sourcePublishedAt,verified,verificationNotes,matchId
2021-09-19,2021/22,Borussia Dortmund,Union Berlin,Bundesliga,League,Home,83,,4-2,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-union-2021-09-19
2021-10-16,2021/22,Borussia Dortmund,1. FSV Mainz 05,Bundesliga,League,Home,54,,2-0,W,Penalty,,true,false,,,,https://datencenter.dfb.de/datencenter/bundesliga/2021-22/8-spieltag/borussia-dortmund-1-fsv-mainz-05-2326658,DFB Data Center,,true,,dortmund-mainz-2021-10-16
2021-10-16,2021/22,Borussia Dortmund,1. FSV Mainz 05,Bundesliga,League,Home,90,4,3-1,W,Open Play,Left Foot,false,false,,,,https://datencenter.dfb.de/datencenter/bundesliga/2021-22/8-spieltag/borussia-dortmund-1-fsv-mainz-05-2326658,DFB Data Center,,true,,dortmund-mainz-2021-10-16
2021-11-27,2021/22,Borussia Dortmund,VfL Wolfsburg,Bundesliga,League,Away,80,,1-3,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-wolfsburg-2021-11-27
2021-12-04,2021/22,Borussia Dortmund,Bayern Munich,Bundesliga,League,Home,48,,2-2,L,Open Play,Right Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-bayern-2021-12-04
2021-12-07,2021/22,Borussia Dortmund,Beşiktaş,UEFA Champions League,Continental,Home,68,,4-0,W,,,false,false,,,,https://bjk.com.tr/en/mac_merkezi/canli/18786,Beşiktaş JK,,true,,dortmund-besiktas-2021-12-07
2021-12-07,2021/22,Borussia Dortmund,Beşiktaş,UEFA Champions League,Continental,Home,81,,5-0,W,,,false,false,,,,https://bjk.com.tr/en/mac_merkezi/canli/18786,Beşiktaş JK,,true,,dortmund-besiktas-2021-12-07
2021-12-15,2021/22,Borussia Dortmund,Greuther Fürth,Bundesliga,League,Home,33,,1-0,W,Penalty,,true,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-furth-2021-12-15
2021-12-15,2021/22,Borussia Dortmund,Greuther Fürth,Bundesliga,League,Home,82,,2-0,W,Header,Head,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-furth-2021-12-15
2022-01-14,2021/22,Borussia Dortmund,SC Freiburg,Bundesliga,League,Home,45,1,3-0,W,,,false,false,,,,https://datencenter.dfb.de/datencenter/bundesliga/2021-22/19/borussia-dortmund-sc-freiburg-2327077,DFB Data Center,,true,,dortmund-freiburg-2022-01-14
2022-01-14,2021/22,Borussia Dortmund,SC Freiburg,Bundesliga,League,Home,75,,4-1,W,,,false,false,,,,https://datencenter.dfb.de/datencenter/bundesliga/2021-22/19/borussia-dortmund-sc-freiburg-2327077,DFB Data Center,,true,,dortmund-freiburg-2022-01-14
2022-01-18,2021/22,Borussia Dortmund,FC St. Pauli,DFB-Pokal,Domestic Cup,Away,58,,2-1,L,Penalty,,true,false,,,,https://datencenter.dfb.de/en/data-center/dfb-pokal/18484/round-of-sixteen/2336384,DFB Data Center,,true,,dortmund-st-pauli-2022-01-18
2022-01-22,2021/22,Borussia Dortmund,TSG Hoffenheim,Bundesliga,League,Away,6,,0-1,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-hoffenheim-2022-01-22
2022-04-16,2021/22,Borussia Dortmund,VfL Wolfsburg,Bundesliga,League,Home,38,,5-0,W,Open Play,Right Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-wolfsburg-2022-04-16
2022-04-16,2021/22,Borussia Dortmund,VfL Wolfsburg,Bundesliga,League,Home,54,,6-0,W,Open Play,Left Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-wolfsburg-2022-04-16
2022-04-30,2021/22,Borussia Dortmund,VfL Bochum,Bundesliga,League,Home,18,,1-2,L,Penalty,,true,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-bochum-2022-04-30
2022-04-30,2021/22,Borussia Dortmund,VfL Bochum,Bundesliga,League,Home,30,,2-2,L,Penalty,,true,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-bochum-2022-04-30
2022-04-30,2021/22,Borussia Dortmund,VfL Bochum,Bundesliga,League,Home,62,,3-2,L,Open Play,Right Foot,false,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-bochum-2022-04-30
2022-05-14,2021/22,Borussia Dortmund,Hertha BSC,Bundesliga,League,Home,68,,1-1,W,Penalty,,true,false,,,transfermarkt-haaland-all-goals,https://www.transfermarkt.com/erling-haaland/alletore/spieler/418560/,Transfermarkt,,true,,dortmund-hertha-2022-05-14
